age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,English Learning Method,English Residence,Length of English Residence,Accent
37.0,0.0,"smith island, maryland, usa",english27,english,1,85,usa,False,naturalistic,usa,37.0,rem
54.0,0.0,"toronto, ontario, canada",english28,english,0,86,canada,False,naturalistic,canada,54.0,1
54.0,0.0,"lindsay, ontario, canada",english29,english,1,87,canada,False,naturalistic,canada,54.0,1
26.0,0.0,"brisbane, australia",english3,english,1,88,australia,False,naturalistic,australia,26.0,5
30.0,0.0,"st. mary's, ontario, canada",english30,english,1,89,canada,False,naturalistic,canada,30.0,1
31.0,0.0,"st. augustine, trinidad",english31,english,1,90,trinidad,False,naturalistic,"trinidad,usa",31.0,rem
50.0,0.0,"fresno, california, usa",english32,english,1,91,usa,False,naturalistic,usa,50.0,1
21.0,0.0,"san diego, california, usa",english33,english,0,92,usa,False,naturalistic,usa,21.0,1
18.0,0.0,"ronkonkoma, new york, usa",english34,english,1,93,usa,False,naturalistic,usa,18.0,rem
60.0,0.0,"milwaukee, wisconsin, usa",english35,english,1,94,usa,False,naturalistic,usa,60.0,1
60.0,0.0,"arcadia, wisconsin, usa",english36,english,0,95,usa,False,naturalistic,usa,60.0,1
28.0,0.0,"yole, india",english37,english,1,96,india,False,naturalistic,usa,7.0,10
27.0,0.0,"littlehampton, uk",english38,english,0,97,uk,False,naturalistic,uk,27.0,6
59.0,0.0,"new orleans, louisiana, usa",english39,english,1,98,usa,False,naturalistic,usa,59.0,rem
53.0,0.0,"saint anne's bay, jamaica",english4,english,1,99,jamaica,False,naturalistic,"jamaica,usa",53.0,rem
53.0,0.0,"dudley, uk",english40,english,0,100,uk,False,naturalistic,uk,53.0,6
44.0,0.0,"wellington, new zealand",english41,english,0,101,new zealand,False,naturalistic,newzealand,21.0,rem
65.0,0.0,"nigel, south africa",english42,english,0,102,south africa,False,naturalistic,southafrica,60.0,rem
47.0,0.0,"vancouver, british columbia, canada",english43,english,0,103,canada,False,naturalistic,canada,47.0,1
63.0,0.0,"winston salem, north carolina, usa",english44,english,1,104,usa,False,naturalistic,usa,63.0,0
52.0,0.0,"pine bluff, arkansas, usa",english45,english,0,105,usa,False,naturalistic,usa,52.0,0
73.0,0.0,"creswell, north carolina, usa",english46,english,0,106,usa,False,naturalistic,usa,73.0,0
76.0,0.0,"plantersville, arkansas, usa",english47,english,1,107,usa,False,naturalistic,usa,76.0,0
26.0,0.0,"port moresby, national capital district, papua new guinea",english48,english,0,108,papua new guinea,False,naturalistic,"papuanewguinea,uk,usa",26.0,16
43.0,0.0,"castro valley, california, usa",english49,english,0,109,usa,False,naturalistic,usa,43.0,1
62.0,0.0,"fairfax, virginia, usa",english5,english,0,110,usa,False,naturalistic,usa,62.0,0
29.0,0.0,"baltic, south dakota, usa",english50,english,1,111,usa,False,naturalistic,usa,29.0,1
67.0,0.0,"detroit, michigan, usa",english51,english,0,112,usa,False,naturalistic,usa,67.0,1
20.0,0.0,"calgary, alberta, canada",english52,english,0,113,canada,False,naturalistic,"canada,usa",20.0,1
63.0,0.0,"syracuse, new york, usa",english53,english,0,114,usa,False,naturalistic,usa,63.0,rem
40.0,0.0,"new albany, indiana, usa",english54,english,1,115,usa,False,naturalistic,usa,40.0,1
53.0,0.0,"st. louis, missouri, usa",english55,english,1,116,usa,False,naturalistic,usa,53.0,1
20.0,0.0,"londonderry, northern ireland, uk",english56,english,0,117,uk,False,naturalistic,northernireland,20.0,6
34.0,0.0,"birmingham 1, uk",english57,english,0,118,uk,False,naturalistic,"uk,canada",34.0,6
46.0,0.0,"southhampton, uk",english58,english,1,119,uk,False,naturalistic,"uk,usa",16.0,6
30.0,0.0,"columbus, ohio, usa",english59,english,0,120,usa,False,naturalistic,usa,30.0,rem
45.0,0.0,"brooklyn, new york, usa",english6,english,1,121,usa,False,naturalistic,usa,45.0,rem
18.0,0.0,"chesapeake, virginia, usa",english60,english,0,122,usa,False,naturalistic,usa,18.0,0
19.0,0.0,"toronto, ontario, canada",english61,english,0,123,canada,False,naturalistic,canada,19.0,1
30.0,0.0,"west jordan, utah, usa",english62,english,0,124,usa,False,naturalistic,usa,30.0,1
21.0,0.0,"lewisville, texas, usa",english63,english,0,125,usa,False,naturalistic,usa,21.0,0
25.0,0.0,"montreal, quebec, canada",english64,english,1,126,canada,False,naturalistic,canada,25.0,rem
47.0,0.0,"lewistown, pennsylvania, usa",english65,english,0,127,usa,False,naturalistic,usa,47.0,1
19.0,0.0,"baltimore, maryland, usa",english66,english,0,128,usa,False,naturalistic,usa,19.0,rem
37.0,0.0,"princeton, indiana, usa",english67,english,0,129,usa,False,naturalistic,usa,37.0,1
52.0,0.0,"new york, new york, usa",english68,english,0,130,usa,False,naturalistic,usa,52.0,rem
23.0,0.0,"adelaide, australia",english69,english,0,131,australia,False,naturalistic,australia,23.0,5
52.0,0.0,"macon, mississippi, usa",english7,english,0,132,usa,False,naturalistic,usa,52.0,0
21.0,0.0,"beaumont, texas, usa",english70,english,0,133,usa,False,naturalistic,usa,21.0,0
20.0,0.0,"west covina, california, usa",english71,english,0,134,usa,False,naturalistic,usa,20.0,1
31.0,0.0,"kilkenny, ireland",english72,english,0,135,ireland,False,naturalistic,ireland,31.0,7
24.0,0.0,"darwin, australia",english73,english,0,136,australia,False,naturalistic,australia,24.0,5
21.0,0.0,"wichita, kansas, usa",english74,english,0,137,usa,False,naturalistic,usa,21.0,1
32.0,0.0,"idaho falls, idaho, usa",english75,english,0,138,usa,False,naturalistic,usa,32.0,1
18.0,0.0,"boston, massachusetts, usa",english76,english,1,139,usa,False,naturalistic,usa,18.0,rem
26.0,0.0,"melbourne, australia",english77,english,0,140,australia,False,naturalistic,australia,26.0,5
20.0,0.0,"caribou, maine, usa",english78,english,1,141,usa,False,naturalistic,usa,20.0,1
73.0,0.0,"boston, massachusetts, usa",english79,english,0,142,usa,False,naturalistic,usa,73.0,rem
21.0,0.0,"perth, australia",english8,english,1,143,australia,False,naturalistic,"australia,usa",4.0,5
34.0,0.0,"glasgow, scotland, uk",english80,english,0,144,uk,False,naturalistic,"uk,canada",34.0,6
30.0,0.0,"st. paul, minnesota, usa",english81,english,0,145,usa,False,naturalistic,usa,30.0,1
50.0,0.0,"chicago, illinois, usa",english82,english,1,146,usa,False,naturalistic,usa,50.0,1
42.0,0.0,"winnfield, louisiana, usa",english83,english,1,147,usa,False,naturalistic,usa,42.0,rem
45.0,0.0,"sydney, australia",english84,english,0,148,australia,False,naturalistic,australia,45.0,5
31.0,0.0,"strabane, northern ireland, uk",english85,english,0,149,uk,False,naturalistic,uk,31.0,6
50.0,0.0,"charleston, south carolina, usa",english86,english,0,150,usa,False,naturalistic,usa,50.0,0
18.0,0.0,"tamworth, australia",english87,english,1,151,australia,False,naturalistic,australia,18.0,5
18.0,0.0,"grand rapids, michigan, usa",english88,english,0,152,usa,False,naturalistic,usa,18.0,1
18.0,0.0,"kingston ma, massachusetts, usa",english89,english,0,153,usa,False,naturalistic,usa,18.0,rem
48.0,0.0,"carthage, texas, usa",english9,english,1,154,usa,False,naturalistic,usa,48.0,0
53.0,0.0,"pittsburgh, pennsylvania, usa",english90,english,0,155,usa,False,naturalistic,usa,53.0,1
23.0,0.0,"kingston, jamaica",english91,english,0,156,jamaica,False,naturalistic,jamaica,23.0,rem
22.0,0.0,"wisconsin rapids, wisconsin, usa",english92,english,1,157,usa,False,naturalistic,usa,22.0,1
22.0,0.0,"mamou, louisiana, usa",english93,english,1,158,usa,False,naturalistic,usa,22.0,rem
55.0,0.0,"pensacola, florida, usa",english94,english,1,159,usa,False,naturalistic,usa,55.0,rem
18.0,0.0,"mishawaka, indiana, usa",english95,english,0,160,usa,False,naturalistic,usa,18.0,1
31.0,0.0,"point pleasant, new jersey, usa",english96,english,0,161,usa,False,naturalistic,usa,31.0,rem
42.0,0.0,"wilmington nc, north carolina, usa",english97,english,0,162,usa,False,naturalistic,usa,42.0,0
22.0,0.0,"spokane, washington, usa",english98,english,0,163,usa,False,naturalistic,usa,22.0,1
52.0,0.0,"pittsburgh, pennsylvania, usa",english99,english,1,164,usa,False,naturalistic,usa,52.0,1
25.0,9.0,"accra, ghana",ewe1,ewe,0,165,ghana,False,academic,usa,12.0,16
20.0,11.0,"malabo, equatorial guinea",fang1,fang,1,166,equatorial guinea,False,academic,usa,1.0,16
32.0,6.0,"ajumako, ghana",fanti1,fanti,0,167,ghana,False,academic,usa,7.0,16
22.0,13.0,"tehran, iran",farsi1,farsi,0,168,iran,False,academic,usa,0.6,rem
34.0,18.0,"esfahan, iran",farsi2,farsi,1,169,iran,False,academic,usa,1.5,rem
28.0,14.0,"esfahan, iran",farsi3,farsi,1,170,iran,False,academic,usa,3.0,rem
21.0,15.0,"mazandran, iran",farsi4,farsi,1,171,iran,False,academic,usa,1.5,rem
43.0,14.0,"tehran, iran",farsi5,farsi,0,172,iran,False,academic,usa,22.0,rem
27.0,9.0,"tehran, iran",farsi6,farsi,0,173,iran,False,naturalistic,usa,6.0,rem
29.0,11.0,"tehran, iran",farsi7,farsi,0,174,iran,False,academic,usa,2.0,rem
29.0,11.0,"tehran, iran",farsi8,farsi,1,175,iran,False,academic,usa,1.75,rem
39.0,12.0,"tehran, iran",farsi9,farsi,0,176,iran,False,academic,,0.0,rem
22.0,9.0,"lahti, finland",finnish1,finnish,1,177,finland,False,academic,usa,0.5,15
20.0,7.0,"helsinki, finland",finnish2,finnish,0,178,finland,False,academic,,0.0,15
20.0,12.0,"st. laurent d'onay, france",french1,french,1,179,france,False,academic,usa,0.4,4
19.0,14.0,"tunis, tunisia",french2,french,0,180,tunisia,False,academic,usa,0.5,2
22.0,11.0,"nice, france",french3,french,1,181,france,False,academic,usa,0.2,4
31.0,14.0,"abidjan, ivory coast",french4,french,1,182,ivory coast,False,academic,usa,9.0,rem
36.0,11.0,"douala, cameroon",french5,french,1,183,cameroon,False,academic,usa,4.0,16
26.0,13.0,"booue, gabon",french6,french,1,184,gabon,False,academic,usa,1.0,rem
18.0,5.0,"rimouski, quebec, canada",french7,french,0,185,canada,False,academic,canada,18.0,rem
66.0,16.0,"ghent, belgium",french8,french,0,186,belgium,False,academic,,0.0,rem
62.0,13.0,"akkrum, friesland, netherlands",frisian1,frisian,0,187,netherlands,False,academic,"usa,canada",27.0,rem
30.0,28.0,"tbilisi, republic of georgia",georgian1,georgian,1,188,republic of georgia,False,academic,usa,2.0,rem
48.0,12.0,"dusseldorf, germany",german1,german,1,189,germany,False,academic,usa,25.0,13
29.0,12.0,"bemberg, germany",german2,german,1,190,germany,False,academic,usa,0.5,13
19.0,12.0,"meissen, germany",german3,german,1,191,germany,False,academic,usa,0.5,13
19.0,11.0,"stuttgart, germany",german4,german,1,192,germany,False,academic,usa,0.5,13
47.0,12.0,"halle, germany",german5,german,0,193,germany,False,academic,usa,0.2,13
28.0,8.0,"vienna, austria",german6,german,0,194,austria,False,academic,,0.0,rem
19.0,9.0,"athens, greece",greek1,greek,0,195,greece,False,academic,usa,0.25,rem
26.0,9.0,"athens, greece",greek2,greek,1,196,greece,False,academic,usa,1.5,rem
37.0,15.0,"karprenici, greece",greek3,greek,1,197,greece,False,academic,usa,22.0,rem
20.0,15.0,"ahmedabad, india",gujarati1,gujarati,0,198,india,False,academic,usa,0.5,10
22.0,8.0,"bombay, india",gujarati2,gujarati,0,199,india,False,academic,usa,0.3,10
28.0,2.0,"limerick, ireland",gujarati3,gujarati,1,200,ireland,False,naturalistic,"india,usa,ireland",3.0,7
44.0,12.0,"nairobi, kenya",gusii1,gusii,0,201,kenya,False,academic,usa,15.0,rem
23.0,10.0,"yehud, israel",hebrew1,hebrew,0,202,israel,False,academic,,0.0,rem
24.0,10.0,"jerusalem, israel",hebrew2,hebrew,0,203,israel,False,academic,,0.0,rem
33.0,8.0,"haifa, israel",hebrew3,hebrew,0,204,israel,False,academic,usa,1.5,rem
20.0,9.0,"haifa, israel",hebrew4,hebrew,1,205,israel,False,academic,canada,0.5,rem
23.0,10.0,"netanya, israel",hebrew5,hebrew,0,206,israel,False,academic,usa,3.0,rem
27.0,2.0,"nagpur, maharashtra, india",hindi1,hindi,0,207,india,False,academic,"uk,usa",3.5,10
50.0,14.0,"taipei, taiwan",xiang1,xiang,1,208,taiwan,False,academic,usa,30.0,3
22.5,20.0,"cegled, hungary",hungarian1,hungarian,1,209,hungary,False,academic,"uk,usa",1.5,rem
22.0,8.0,"clug, romania",hungarian2,hungarian,1,210,romania,False,academic,usa,1.0,2
34.0,8.0,"brasov, romania",hungarian3,hungarian,0,211,romania,False,academic,usa,5.0,2
23.0,12.0,"imo state, imo state, nigeria",igbo1,igbo,1,212,nigeria,False,academic,usa,0.4,16
31.0,13.0,"jakarta, indonesia",indonesian1,indonesian,0,213,indonesia,False,academic,usa,11.0,rem
18.0,13.0,"jakarta, indonesia",indonesian2,indonesian,0,214,indonesia,False,academic,canada,2.5,rem
32.0,13.0,"jakarta, indonesia",indonesian3,indonesian,1,215,indonesia,False,academic,usa,0.6,rem
30.0,10.0,"jakarta, indonesia",indonesian4,indonesian,1,216,indonesia,False,academic,usa,6.5,rem
29.0,22.0,"carbonia, italy",italian1,italian,1,217,italy,False,academic,usa,3.5,14
46.0,18.0,"caltanissetta, sicily, italy",italian2,italian,0,218,italy,False,academic,usa,0.3,14
55.0,21.0,"florence, italy",italian3,italian,0,219,italy,False,academic,usa,34.0,14
47.0,11.0,"cremona, italy",italian4,italian,1,220,italy,False,academic,usa,0.2,14
25.0,12.0,"tokyo, japan",japanese1,japanese,1,221,japan,False,academic,usa,2.0,3
27.0,12.0,"tokyo, japan",japanese2,japanese,1,222,japan,False,academic,usa,1.3,3
49.0,12.0,"kofu, yamanashi prefecture, japan",japanese3,japanese,1,223,japan,False,academic,usa,3.0,3
20.0,15.0,"tokyo, japan",japanese4,japanese,0,224,japan,False,academic,usa,0.75,3
25.0,12.0,"chiba, japan",japanese5,japanese,1,225,japan,False,academic,usa,0.4,3
30.0,10.0,"kawasaki, japan",japanese6,japanese,1,226,japan,False,academic,"usa,canada",12.0,3
18.0,12.0,"osaka, japan",japanese7,japanese,0,227,japan,False,academic,,0.0,3
26.0,5.0,"bangalore, india",kannada1,kannada,1,228,india,False,academic,usa,4.0,10
18.0,9.0,"semey, kazakhstan",kazakh1,kazakh,0,229,kazakhstan,False,academic,,0.0,rem
21.0,16.0,"phnom penh, cambodia",khmer1,khmer,1,230,cambodia,False,academic,usa,3.0,rem
19.0,16.0,"phnom penh, cambodia",khmer2,khmer,0,231,cambodia,False,academic,usa,4.0,rem
46.0,25.0,"baling, kampongthum, cambodia",khmer3,khmer,0,232,cambodia,False,academic,usa,5.5,rem
32.0,28.0,"bishkek, kyrgyzstan",kirghiz1,kirghiz,1,233,kyrgyzstan,False,academic,usa,2.0,rem
22.0,6.0,"dar-es-salaam, tanzania",kiswahili1,kiswahili,0,234,tanzania,False,academic,usa,0.3,rem
28.0,16.0,"kigoma, tanzania",kiswahili2,kiswahili,0,235,tanzania,False,academic,usa,0.3,rem
29.0,6.0,"nairobi, kenya",kiswahili3,kiswahili,0,236,kenya,False,academic,usa,10.0,rem
36.0,34.0,"goma, north kivu, democratic republic of congo",kiswahili4,kiswahili,0,237,democratic republic of congo,False,academic,usa,1.0,rem
29.0,13.0,"ui jong bu, south korea",korean1,korean,0,238,south korea,False,academic,usa,1.1,3
23.0,14.0,"taegu, south korea",korean2,korean,1,239,south korea,False,academic,usa,0.1,3
19.0,17.0,"seoul, south korea",korean3,korean,1,240,south korea,False,academic,usa,0.6,3
29.0,15.0,"seoul, south korea",korean4,korean,1,241,south korea,False,academic,usa,2.0,3
50.0,12.0,"seoul, south korea",korean5,korean,1,242,south korea,False,academic,usa,23.0,3
21.0,12.0,"sunchun, south korea",korean6,korean,1,243,south korea,False,academic,,0.0,3
32.0,10.0,"seoul, south korea",korean7,korean,0,244,south korea,False,academic,usa,23.0,3
46.0,5.0,"freetown, sierra leone",krio1,krio,1,245,sierra leone,False,academic,usa,16.0,16
24.0,15.0,"arbil, iraq",kurdish1,kurdish,0,246,iraq,False,academic,usa,1.5,2
30.0,13.0,"leworook, nusa tenggara, indonesia",lamaholot1,lamaholot,0,247,indonesia,False,academic,usa,0.25,rem
19.0,12.0,"savannakhet, laos",lao1,lao,1,248,laos,False,academic,usa,1.0,rem
25.0,21.0,"vientiane, laos, ",lao2,lao,1,249,,False,academic,usa,3.0,rem
24.0,13.0,"riga, latvia",latvian1,latvian,1,250,latvia,False,academic,usa,0.2,rem
27.0,24.0,"klaipeda, lithuania",lithuanian1,lithuanian,1,251,lithuania,False,naturalistic,usa,3.0,rem
42.0,12.0,"siaya, kenya",luo1,luo,0,252,kenya,False,academic,"uk,usa",2.0,rem
19.0,11.0,"ohrid, macedonia",macedonian1,macedonian,0,253,macedonia,False,academic,usa,2.25,12
24.0,5.0,"kerala state, kerala state, india",malayalam1,malayalam,0,255,india,False,academic,usa,0.7,10
26.0,13.0,"shanxi province, shanxi, china",mandarin1,mandarin,1,256,china,False,academic,usa,2.0,3
38.0,14.0,"nanjing, china",mandarin2,mandarin,1,257,china,False,academic,usa,0.8,3
43.0,10.0,"jilin city, jilin, china",mandarin3,mandarin,0,258,china,False,academic,usa,14.0,3
24.0,6.0,"shanghai, china",mandarin4,mandarin,1,259,china,False,academic,usa,1.0,3
31.0,12.0,"beijing, china",mandarin5,mandarin,1,260,china,False,academic,usa,2.0,3
28.0,12.0,"le shan, sichuan, china",mandarin6,mandarin,1,261,china,False,academic,usa,5.0,3
22.0,5.0,"berkeley, california, usa",mandarin7,mandarin,0,262,usa,False,naturalistic,usa,22.0,rem
36.0,9.0,"freetown, sierra leone",mandingo1,mandingo,0,263,sierra leone,False,academic,usa,3.5,16
21.0,3.0,"bombay, india",marathi1,marathi,1,264,india,False,academic,usa,4.0,10
28.0,10.0,"madras, india",marathi2,marathi,0,265,india,False,academic,usa,0.5,10
21.0,5.0,"port louis, mauritius",mauritian1,mauritian,0,266,mauritius,False,academic,usa,0.2,rem
18.0,15.0,"ulaanbaatar, mongolia",mongolian1,mongolian,1,267,mongolia,False,naturalistic,usa,3.0,rem
22.0,17.0,"ulaanbaatar, mongolia",mongolian2,mongolian,0,268,mongolia,False,academic,usa,0.25,rem
29.0,12.0,"tenkodogo, burkina faso",moore1,moore,1,269,burkina faso,False,academic,usa,8.0,rem
21.0,6.0,"weno, chuuk, federated states of micronesia",mortlockese1,mortlockese,0,270,federated states of micronesia,False,academic,usa,3.0,6
22.0,5.0,"katmandu, nepal",nepali1,nepali,1,271,nepal,False,academic,usa,4.0,rem
33.0,10.0,"drammen, norway",norwegian1,norwegian,1,272,norway,False,academic,usa,0.3,15
55.0,12.0,"oslo, norway",norwegian2,norwegian,1,273,norway,False,academic,usa,32.0,15
19.0,5.0,"volda, norway",norwegian3,norwegian,0,274,norway,False,naturalistic,usa,0.8,15
33.0,11.0,"wellga, ethiopia",oromo1,oromo,1,275,ethiopia,False,academic,usa,11.0,rem
18.0,3.0,"kolonia, pohnpei, federated states of micronesia",pohnpeian1,pohnpeian,0,276,federated states of micronesia,False,naturalistic,usa,0.25,rem
26.0,23.0,"janow, poland",polish1,polish,1,277,poland,False,academic,usa,0.25,rem
26.0,25.0,"mielec, poland",polish2,polish,1,278,poland,False,academic,usa,1.0,rem
